,Timestamp,value,classification,date,Trade_date
79,2018-04-24 05:30:00,29,Fear,2018-04-24,2018-04-24
80,2018-04-25 05:30:00,64,Greed,2018-04-25,2018-04-25
81,2018-04-26 05:30:00,47,Neutral,2018-04-26,2018-04-26
82,2018-04-27 05:30:00,55,Greed,2018-04-27,2018-04-27
83,2018-04-28 05:30:00,54,Neutral,2018-04-28,2018-04-28
84,2018-04-29 05:30:00,61,Greed,2018-04-29,2018-04-29
85,2018-04-30 05:30:00,59,Greed,2018-04-30,2018-04-30
86,2018-05-01 05:30:00,56,Greed,2018-05-01,2018-05-01
87,2018-05-02 05:30:00,52,Neutral,2018-05-02,2018-05-02
88,2018-05-03 05:30:00,55,Greed,2018-05-03,2018-05-03
89,2018-05-04 05:30:00,56,Greed,2018-05-04,2018-05-04
90,2018-05-05 05:30:00,63,Greed,2018-05-05,2018-05-05
91,2018-05-06 05:30:00,67,Greed,2018-05-06,2018-05-06
92,2018-05-07 05:30:00,56,Greed,2018-05-07,2018-05-07
93,2018-05-08 05:30:00,62,Greed,2018-05-08,2018-05-08
94,2018-05-09 05:30:00,53,Neutral,2018-05-09,2018-05-09
95,2018-05-10 05:30:00,63,Greed,2018-05-10,2018-05-10
96,2018-05-11 05:30:00,41,Fear,2018-05-11,2018-05-11
97,2018-05-12 05:30:00,44,Fear,2018-05-12,2018-05-12
98,2018-05-13 05:30:00,40,Fear,2018-05-13,2018-05-13
99,2018-05-14 05:30:00,40,Fear,2018-05-14,2018-05-14
100,2018-05-15 05:30:00,40,Fear,2018-05-15,2018-05-15
101,2018-05-16 05:30:00,32,Fear,2018-05-16,2018-05-16
102,2018-05-17 05:30:00,31,Fear,2018-05-17,2018-05-17
103,2018-05-18 05:30:00,37,Fear,2018-05-18,2018-05-18
104,2018-05-19 05:30:00,31,Fear,2018-05-19,2018-05-19
105,2018-05-20 05:30:00,32,Fear,2018-05-20,2018-05-20
106,2018-05-21 05:30:00,41,Fear,2018-05-21,2018-05-21
107,2018-05-22 05:30:00,30,Fear,2018-05-22,2018-05-22
108,2018-05-23 05:30:00,26,Fear,2018-05-23,2018-05-23
109,2018-05-24 05:30:00,27,Fear,2018-05-24,2018-05-24
110,2018-05-25 05:30:00,25,Fear,2018-05-25,2018-05-25
111,2018-05-26 05:30:00,23,Extreme Fear,2018-05-26,2018-05-26
112,2018-05-27 05:30:00,19,Extreme Fear,2018-05-27,2018-05-27
113,2018-05-28 05:30:00,22,Extreme Fear,2018-05-28,2018-05-28
114,2018-05-29 05:30:00,16,Extreme Fear,2018-05-29,2018-05-29
115,2018-05-30 05:30:00,38,Fear,2018-05-30,2018-05-30
116,2018-05-31 05:30:00,25,Fear,2018-05-31,2018-05-31
117,2018-06-01 05:30:00,24,Extreme Fear,2018-06-01,2018-06-01
118,2018-06-02 05:30:00,27,Fear,2018-06-02,2018-06-02
119,2018-06-03 05:30:00,40,Fear,2018-06-03,2018-06-03
120,2018-06-04 05:30:00,41,Fear,2018-06-04,2018-06-04
121,2018-06-05 05:30:00,26,Fear,2018-06-05,2018-06-05
122,2018-06-06 05:30:00,42,Fear,2018-06-06,2018-06-06
123,2018-06-07 05:30:00,38,Fear,2018-06-07,2018-06-07
124,2018-06-08 05:30:00,40,Fear,2018-06-08,2018-06-08
125,2018-06-09 05:30:00,39,Fear,2018-06-09,2018-06-09
126,2018-06-10 05:30:00,24,Extreme Fear,2018-06-10,2018-06-10
127,2018-06-11 05:30:00,15,Extreme Fear,2018-06-11,2018-06-11
128,2018-06-12 05:30:00,19,Extreme Fear,2018-06-12,2018-06-12
129,2018-06-13 05:30:00,19,Extreme Fear,2018-06-13,2018-06-13
130,2018-06-14 05:30:00,17,Extreme Fear,2018-06-14,2018-06-14
131,2018-06-15 05:30:00,26,Fear,2018-06-15,2018-06-15
132,2018-06-16 05:30:00,22,Extreme Fear,2018-06-16,2018-06-16
133,2018-06-17 05:30:00,23,Extreme Fear,2018-06-17,2018-06-17
134,2018-06-18 05:30:00,27,Fear,2018-06-18,2018-06-18
135,2018-06-19 05:30:00,32,Fear,2018-06-19,2018-06-19
136,2018-06-20 05:30:00,34,Fear,2018-06-20,2018-06-20
137,2018-06-21 05:30:00,37,Fear,2018-06-21,2018-06-21
138,2018-06-22 05:30:00,28,Fear,2018-06-22,2018-06-22
139,2018-06-23 05:30:00,17,Extreme Fear,2018-06-23,2018-06-23
140,2018-06-24 05:30:00,15,Extreme Fear,2018-06-24,2018-06-24
141,2018-06-25 05:30:00,16,Extreme Fear,2018-06-25,2018-06-25
142,2018-06-26 05:30:00,21,Extreme Fear,2018-06-26,2018-06-26
143,2018-06-27 05:30:00,18,Extreme Fear,2018-06-27,2018-06-27
144,2018-06-28 05:30:00,20,Extreme Fear,2018-06-28,2018-06-28
145,2018-06-29 05:30:00,16,Extreme Fear,2018-06-29,2018-06-29
146,2018-06-30 05:30:00,22,Extreme Fear,2018-06-30,2018-06-30
147,2018-07-01 05:30:00,27,Fear,2018-07-01,2018-07-01
148,2018-07-02 05:30:00,27,Fear,2018-07-02,2018-07-02
149,2018-07-03 05:30:00,31,Fear,2018-07-03,2018-07-03
150,2018-07-04 05:30:00,33,Fear,2018-07-04,2018-07-04
151,2018-07-05 05:30:00,37,Fear,2018-07-05,2018-07-05
152,2018-07-06 05:30:00,34,Fear,2018-07-06,2018-07-06
153,2018-07-07 05:30:00,34,Fear,2018-07-07,2018-07-07
154,2018-07-08 05:30:00,38,Fear,2018-07-08,2018-07-08
155,2018-07-09 05:30:00,39,Fear,2018-07-09,2018-07-09
156,2018-07-10 05:30:00,37,Fear,2018-07-10,2018-07-10
157,2018-07-11 05:30:00,29,Fear,2018-07-11,2018-07-11
158,2018-07-12 05:30:00,33,Fear,2018-07-12,2018-07-12
159,2018-07-13 05:30:00,29,Fear,2018-07-13,2018-07-13
160,2018-07-14 05:30:00,29,Fear,2018-07-14,2018-07-14
161,2018-07-15 05:30:00,32,Fear,2018-07-15,2018-07-15
162,2018-07-16 05:30:00,36,Fear,2018-07-16,2018-07-16
163,2018-07-17 05:30:00,39,Fear,2018-07-17,2018-07-17
164,2018-07-18 05:30:00,42,Fear,2018-07-18,2018-07-18
165,2018-07-19 05:30:00,44,Fear,2018-07-19,2018-07-19
166,2018-07-20 05:30:00,47,Neutral,2018-07-20,2018-07-20
167,2018-07-21 05:30:00,43,Fear,2018-07-21,2018-07-21
168,2018-07-22 05:30:00,46,Neutral,2018-07-22,2018-07-22
169,2018-07-23 05:30:00,44,Fear,2018-07-23,2018-07-23
170,2018-07-24 05:30:00,49,Neutral,2018-07-24,2018-07-24
171,2018-07-25 05:30:00,54,Neutral,2018-07-25,2018-07-25
172,2018-07-26 05:30:00,53,Neutral,2018-07-26,2018-07-26
173,2018-07-27 05:30:00,47,Neutral,2018-07-27,2018-07-27
174,2018-07-28 05:30:00,54,Neutral,2018-07-28,2018-07-28
175,2018-07-29 05:30:00,54,Neutral,2018-07-29,2018-07-29
176,2018-07-30 05:30:00,53,Neutral,2018-07-30,2018-07-30
177,2018-07-31 05:30:00,48,Neutral,2018-07-31,2018-07-31
178,2018-08-01 05:30:00,39,Fear,2018-08-01,2018-08-01
179,2018-08-02 05:30:00,39,Fear,2018-08-02,2018-08-02
180,2018-08-03 05:30:00,36,Fear,2018-08-03,2018-08-03
181,2018-08-04 05:30:00,31,Fear,2018-08-04,2018-08-04
182,2018-08-05 05:30:00,23,Extreme Fear,2018-08-05,2018-08-05
183,2018-08-06 05:30:00,25,Fear,2018-08-06,2018-08-06
184,2018-08-07 05:30:00,25,Fear,2018-08-07,2018-08-07
185,2018-08-08 05:30:00,23,Extreme Fear,2018-08-08,2018-08-08
186,2018-08-09 05:30:00,19,Extreme Fear,2018-08-09,2018-08-09
187,2018-08-10 05:30:00,21,Extreme Fear,2018-08-10,2018-08-10
188,2018-08-11 05:30:00,18,Extreme Fear,2018-08-11,2018-08-11
189,2018-08-12 05:30:00,18,Extreme Fear,2018-08-12,2018-08-12
190,2018-08-13 05:30:00,21,Extreme Fear,2018-08-13,2018-08-13
191,2018-08-14 05:30:00,16,Extreme Fear,2018-08-14,2018-08-14
192,2018-08-15 05:30:00,18,Extreme Fear,2018-08-15,2018-08-15
193,2018-08-16 05:30:00,21,Extreme Fear,2018-08-16,2018-08-16
194,2018-08-17 05:30:00,19,Extreme Fear,2018-08-17,2018-08-17
195,2018-08-18 05:30:00,24,Extreme Fear,2018-08-18,2018-08-18
196,2018-08-19 05:30:00,27,Fear,2018-08-19,2018-08-19
197,2018-08-20 05:30:00,26,Fear,2018-08-20,2018-08-20
198,2018-08-21 05:30:00,19,Extreme Fear,2018-08-21,2018-08-21
199,2018-08-22 05:30:00,21,Extreme Fear,2018-08-22,2018-08-22
200,2018-08-23 05:30:00,18,Extreme Fear,2018-08-23,2018-08-23
201,2018-08-24 05:30:00,19,Extreme Fear,2018-08-24,2018-08-24
202,2018-08-25 05:30:00,22,Extreme Fear,2018-08-25,2018-08-25
203,2018-08-26 05:30:00,19,Extreme Fear,2018-08-26,2018-08-26
204,2018-08-27 05:30:00,18,Extreme Fear,2018-08-27,2018-08-27
205,2018-08-28 05:30:00,19,Extreme Fear,2018-08-28,2018-08-28
206,2018-08-29 05:30:00,19,Extreme Fear,2018-08-29,2018-08-29
207,2018-08-30 05:30:00,22,Extreme Fear,2018-08-30,2018-08-30
208,2018-08-31 05:30:00,17,Extreme Fear,2018-08-31,2018-08-31
209,2018-09-01 05:30:00,21,Extreme Fear,2018-09-01,2018-09-01
210,2018-09-02 05:30:00,18,Extreme Fear,2018-09-02,2018-09-02
211,2018-09-03 05:30:00,19,Extreme Fear,2018-09-03,2018-09-03
212,2018-09-04 05:30:00,26,Fear,2018-09-04,2018-09-04
213,2018-09-05 05:30:00,17,Extreme Fear,2018-09-05,2018-09-05
214,2018-09-06 05:30:00,14,Extreme Fear,2018-09-06,2018-09-06
215,2018-09-07 05:30:00,17,Extreme Fear,2018-09-07,2018-09-07
216,2018-09-08 05:30:00,18,Extreme Fear,2018-09-08,2018-09-08
217,2018-09-09 05:30:00,13,Extreme Fear,2018-09-09,2018-09-09
218,2018-09-10 05:30:00,15,Extreme Fear,2018-09-10,2018-09-10
219,2018-09-11 05:30:00,18,Extreme Fear,2018-09-11,2018-09-11
220,2018-09-12 05:30:00,14,Extreme Fear,2018-09-12,2018-09-12
221,2018-09-13 05:30:00,20,Extreme Fear,2018-09-13,2018-09-13
222,2018-09-14 05:30:00,23,Extreme Fear,2018-09-14,2018-09-14
223,2018-09-15 05:30:00,24,Extreme Fear,2018-09-15,2018-09-15
224,2018-09-16 05:30:00,28,Fear,2018-09-16,2018-09-16
225,2018-09-17 05:30:00,25,Fear,2018-09-17,2018-09-17
226,2018-09-18 05:30:00,21,Extreme Fear,2018-09-18,2018-09-18
227,2018-09-19 05:30:00,24,Extreme Fear,2018-09-19,2018-09-19
228,2018-09-20 05:30:00,24,Extreme Fear,2018-09-20,2018-09-20
229,2018-09-21 05:30:00,31,Fear,2018-09-21,2018-09-21
230,2018-09-22 05:30:00,35,Fear,2018-09-22,2018-09-22
231,2018-09-23 05:30:00,38,Fear,2018-09-23,2018-09-23
232,2018-09-24 05:30:00,43,Fear,2018-09-24,2018-09-24
233,2018-09-25 05:30:00,37,Fear,2018-09-25,2018-09-25
234,2018-09-26 05:30:00,37,Fear,2018-09-26,2018-09-26
235,2018-09-27 05:30:00,42,Fear,2018-09-27,2018-09-27
236,2018-09-28 05:30:00,42,Fear,2018-09-28,2018-09-28
237,2018-09-29 05:30:00,37,Fear,2018-09-29,2018-09-29
238,2018-09-30 05:30:00,34,Fear,2018-09-30,2018-09-30
239,2018-10-01 05:30:00,35,Fear,2018-10-01,2018-10-01
240,2018-10-02 05:30:00,33,Fear,2018-10-02,2018-10-02
241,2018-10-03 05:30:00,36,Fear,2018-10-03,2018-10-03
242,2018-10-04 05:30:00,29,Fear,2018-10-04,2018-10-04
243,2018-10-05 05:30:00,37,Fear,2018-10-05,2018-10-05
244,2018-10-06 05:30:00,34,Fear,2018-10-06,2018-10-06
245,2018-10-07 05:30:00,29,Fear,2018-10-07,2018-10-07
246,2018-10-08 05:30:00,26,Fear,2018-10-08,2018-10-08
247,2018-10-09 05:30:00,31,Fear,2018-10-09,2018-10-09
248,2018-10-10 05:30:00,28,Fear,2018-10-10,2018-10-10
249,2018-10-11 05:30:00,19,Extreme Fear,2018-10-11,2018-10-11
250,2018-10-12 05:30:00,13,Extreme Fear,2018-10-12,2018-10-12
251,2018-10-13 05:30:00,15,Extreme Fear,2018-10-13,2018-10-13
252,2018-10-14 05:30:00,18,Extreme Fear,2018-10-14,2018-10-14
253,2018-10-15 05:30:00,20,Extreme Fear,2018-10-15,2018-10-15
254,2018-10-16 05:30:00,24,Extreme Fear,2018-10-16,2018-10-16
255,2018-10-17 05:30:00,23,Extreme Fear,2018-10-17,2018-10-17
256,2018-10-18 05:30:00,26,Fear,2018-10-18,2018-10-18
257,2018-10-19 05:30:00,24,Extreme Fear,2018-10-19,2018-10-19
258,2018-10-20 05:30:00,21,Extreme Fear,2018-10-20,2018-10-20
259,2018-10-21 05:30:00,21,Extreme Fear,2018-10-21,2018-10-21
260,2018-10-22 05:30:00,27,Fear,2018-10-22,2018-10-22
261,2018-10-23 05:30:00,24,Extreme Fear,2018-10-23,2018-10-23
262,2018-10-24 05:30:00,23,Extreme Fear,2018-10-24,2018-10-24
263,2018-10-25 05:30:00,25,Fear,2018-10-25,2018-10-25
264,2018-10-26 05:30:00,29,Fear,2018-10-26,2018-10-26
265,2018-10-27 05:30:00,33,Fear,2018-10-27,2018-10-27
266,2018-10-28 05:30:00,35,Fear,2018-10-28,2018-10-28
267,2018-10-29 05:30:00,34,Fear,2018-10-29,2018-10-29
268,2018-10-30 05:30:00,31,Fear,2018-10-30,2018-10-30
269,2018-10-31 05:30:00,32,Fear,2018-10-31,2018-10-31
270,2018-11-01 05:30:00,29,Fear,2018-11-01,2018-11-01
271,2018-11-02 05:30:00,36,Fear,2018-11-02,2018-11-02
272,2018-11-03 05:30:00,36,Fear,2018-11-03,2018-11-03
273,2018-11-04 05:30:00,41,Fear,2018-11-04,2018-11-04
274,2018-11-05 05:30:00,42,Fear,2018-11-05,2018-11-05
275,2018-11-06 05:30:00,42,Fear,2018-11-06,2018-11-06
276,2018-11-07 05:30:00,48,Neutral,2018-11-07,2018-11-07
277,2018-11-08 05:30:00,51,Neutral,2018-11-08,2018-11-08
278,2018-11-09 05:30:00,47,Neutral,2018-11-09,2018-11-09
279,2018-11-10 05:30:00,52,Neutral,2018-11-10,2018-11-10
280,2018-11-11 05:30:00,54,Neutral,2018-11-11,2018-11-11
281,2018-11-12 05:30:00,52,Neutral,2018-11-12,2018-11-12
282,2018-11-13 05:30:00,56,Greed,2018-11-13,2018-11-13
283,2018-11-14 05:30:00,49,Neutral,2018-11-14,2018-11-14
284,2018-11-15 05:30:00,28,Fear,2018-11-15,2018-11-15
285,2018-11-16 05:30:00,23,Extreme Fear,2018-11-16,2018-11-16
286,2018-11-17 05:30:00,24,Extreme Fear,2018-11-17,2018-11-17
287,2018-11-18 05:30:00,26,Fear,2018-11-18,2018-11-18
288,2018-11-19 05:30:00,28,Fear,2018-11-19,2018-11-19
289,2018-11-20 05:30:00,21,Extreme Fear,2018-11-20,2018-11-20
290,2018-11-21 05:30:00,15,Extreme Fear,2018-11-21,2018-11-21
291,2018-11-22 05:30:00,14,Extreme Fear,2018-11-22,2018-11-22
292,2018-11-23 05:30:00,12,Extreme Fear,2018-11-23,2018-11-23
293,2018-11-24 05:30:00,15,Extreme Fear,2018-11-24,2018-11-24
294,2018-11-25 05:30:00,9,Extreme Fear,2018-11-25,2018-11-25
295,2018-11-26 05:30:00,17,Extreme Fear,2018-11-26,2018-11-26
296,2018-11-27 05:30:00,11,Extreme Fear,2018-11-27,2018-11-27
297,2018-11-28 05:30:00,14,Extreme Fear,2018-11-28,2018-11-28
298,2018-11-29 05:30:00,18,Extreme Fear,2018-11-29,2018-11-29
299,2018-11-30 05:30:00,19,Extreme Fear,2018-11-30,2018-11-30
300,2018-12-01 05:30:00,13,Extreme Fear,2018-12-01,2018-12-01
301,2018-12-02 05:30:00,15,Extreme Fear,2018-12-02,2018-12-02
302,2018-12-03 05:30:00,17,Extreme Fear,2018-12-03,2018-12-03
303,2018-12-04 05:30:00,12,Extreme Fear,2018-12-04,2018-12-04
304,2018-12-05 05:30:00,19,Extreme Fear,2018-12-05,2018-12-05
305,2018-12-06 05:30:00,13,Extreme Fear,2018-12-06,2018-12-06
306,2018-12-07 05:30:00,11,Extreme Fear,2018-12-07,2018-12-07
307,2018-12-08 05:30:00,11,Extreme Fear,2018-12-08,2018-12-08
308,2018-12-09 05:30:00,14,Extreme Fear,2018-12-09,2018-12-09
309,2018-12-10 05:30:00,19,Extreme Fear,2018-12-10,2018-12-10
310,2018-12-11 05:30:00,15,Extreme Fear,2018-12-11,2018-12-11
311,2018-12-12 05:30:00,14,Extreme Fear,2018-12-12,2018-12-12
312,2018-12-13 05:30:00,14,Extreme Fear,2018-12-13,2018-12-13
313,2018-12-14 05:30:00,10,Extreme Fear,2018-12-14,2018-12-14
314,2018-12-15 05:30:00,11,Extreme Fear,2018-12-15,2018-12-15
315,2018-12-16 05:30:00,13,Extreme Fear,2018-12-16,2018-12-16
316,2018-12-17 05:30:00,17,Extreme Fear,2018-12-17,2018-12-17
317,2018-12-18 05:30:00,23,Extreme Fear,2018-12-18,2018-12-18
318,2018-12-19 05:30:00,21,Extreme Fear,2018-12-19,2018-12-19
319,2018-12-20 05:30:00,27,Fear,2018-12-20,2018-12-20
320,2018-12-21 05:30:00,35,Fear,2018-12-21,2018-12-21
321,2018-12-22 05:30:00,28,Fear,2018-12-22,2018-12-22
322,2018-12-23 05:30:00,31,Fear,2018-12-23,2018-12-23
323,2018-12-24 05:30:00,25,Fear,2018-12-24,2018-12-24
324,2018-12-25 05:30:00,33,Fear,2018-12-25,2018-12-25
325,2018-12-26 05:30:00,26,Fear,2018-12-26,2018-12-26
326,2018-12-27 05:30:00,29,Fear,2018-12-27,2018-12-27
327,2018-12-28 05:30:00,21,Extreme Fear,2018-12-28,2018-12-28
328,2018-12-29 05:30:00,24,Extreme Fear,2018-12-29,2018-12-29
329,2018-12-30 05:30:00,23,Extreme Fear,2018-12-30,2018-12-30
330,2018-12-31 05:30:00,26,Fear,2018-12-31,2018-12-31
331,2019-01-01 05:30:00,24,Extreme Fear,2019-01-01,2019-01-01
332,2019-01-02 05:30:00,30,Fear,2019-01-02,2019-01-02
333,2019-01-03 05:30:00,33,Fear,2019-01-03,2019-01-03
334,2019-01-04 05:30:00,48,Neutral,2019-01-04,2019-01-04
335,2019-01-05 05:30:00,36,Fear,2019-01-05,2019-01-05
336,2019-01-06 05:30:00,31,Fear,2019-01-06,2019-01-06
337,2019-01-07 05:30:00,39,Fear,2019-01-07,2019-01-07
338,2019-01-08 05:30:00,39,Fear,2019-01-08,2019-01-08
339,2019-01-09 05:30:00,42,Fear,2019-01-09,2019-01-09
340,2019-01-10 05:30:00,37,Fear,2019-01-10,2019-01-10
341,2019-01-11 05:30:00,19,Extreme Fear,2019-01-11,2019-01-11
342,2019-01-12 05:30:00,22,Extreme Fear,2019-01-12,2019-01-12
343,2019-01-13 05:30:00,21,Extreme Fear,2019-01-13,2019-01-13
344,2019-01-14 05:30:00,16,Extreme Fear,2019-01-14,2019-01-14
345,2019-01-15 05:30:00,27,Fear,2019-01-15,2019-01-15
346,2019-01-16 05:30:00,24,Extreme Fear,2019-01-16,2019-01-16
347,2019-01-17 05:30:00,28,Fear,2019-01-17,2019-01-17
348,2019-01-18 05:30:00,29,Fear,2019-01-18,2019-01-18
349,2019-01-19 05:30:00,31,Fear,2019-01-19,2019-01-19
350,2019-01-20 05:30:00,35,Fear,2019-01-20,2019-01-20
351,2019-01-21 05:30:00,30,Fear,2019-01-21,2019-01-21
352,2019-01-22 05:30:00,27,Fear,2019-01-22,2019-01-22
353,2019-01-23 05:30:00,33,Fear,2019-01-23,2019-01-23
354,2019-01-24 05:30:00,37,Fear,2019-01-24,2019-01-24
355,2019-01-25 05:30:00,35,Fear,2019-01-25,2019-01-25
356,2019-01-26 05:30:00,41,Fear,2019-01-26,2019-01-26
357,2019-01-27 05:30:00,39,Fear,2019-01-27,2019-01-27
358,2019-01-28 05:30:00,35,Fear,2019-01-28,2019-01-28
359,2019-01-29 05:30:00,21,Extreme Fear,2019-01-29,2019-01-29
360,2019-01-30 05:30:00,22,Extreme Fear,2019-01-30,2019-01-30
361,2019-01-31 05:30:00,17,Extreme Fear,2019-01-31,2019-01-31
362,2019-02-01 05:30:00,23,Extreme Fear,2019-02-01,2019-02-01
363,2019-02-02 05:30:00,22,Extreme Fear,2019-02-02,2019-02-02
364,2019-02-03 05:30:00,19,Extreme Fear,2019-02-03,2019-02-03
365,2019-02-04 05:30:00,27,Fear,2019-02-04,2019-02-04
366,2019-02-05 05:30:00,21,Extreme Fear,2019-02-05,2019-02-05
367,2019-02-06 05:30:00,14,Extreme Fear,2019-02-06,2019-02-06
368,2019-02-07 05:30:00,18,Extreme Fear,2019-02-07,2019-02-07
369,2019-02-08 05:30:00,37,Fear,2019-02-08,2019-02-08
370,2019-02-09 05:30:00,42,Fear,2019-02-09,2019-02-09
371,2019-02-10 05:30:00,40,Fear,2019-02-10,2019-02-10
372,2019-02-11 05:30:00,46,Neutral,2019-02-11,2019-02-11
373,2019-02-12 05:30:00,38,Fear,2019-02-12,2019-02-12
374,2019-02-13 05:30:00,48,Neutral,2019-02-13,2019-02-13
375,2019-02-14 05:30:00,48,Neutral,2019-02-14,2019-02-14
376,2019-02-15 05:30:00,43,Fear,2019-02-15,2019-02-15
377,2019-02-16 05:30:00,43,Fear,2019-02-16,2019-02-16
378,2019-02-17 05:30:00,38,Fear,2019-02-17,2019-02-17
379,2019-02-18 05:30:00,63,Greed,2019-02-18,2019-02-18
380,2019-02-19 05:30:00,65,Greed,2019-02-19,2019-02-19
